Accession,Organism_Name,GenBank_RefSeq,Assembly,Nucleotide,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Genotype,Segment,Publications,Protein,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
AJK00230,Influenza A virus (A/Vietnam/UT36282/2010(H5N1)),GenBank,set:8222cb8a1899819f1b6fe2f7ced30368b305afbb,KP638522,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),449,H5N1,6,1,neuraminidase,Viet Nam,Viet Nam,,Homo sapiens,,3/27/2010,,,neuraminidase [Influenza A virus (A/Vietnam/UT36282/2010(H5N1))]
AJK00231,Influenza A virus (A/Vietnam/UT36282/2010(H5N1)),GenBank,set:8222cb8a1899819f1b6fe2f7ced30368b305afbb,KP638532,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,1,nucleocapsid protein,Viet Nam,Viet Nam,,Homo sapiens,,3/27/2010,,,nucleocapsid protein [Influenza A virus (A/Vietnam/UT36282/2010(H5N1))]
AJK00232,Influenza A virus (A/Vietnam/UT36282/2010(H5N1)),GenBank,set:8222cb8a1899819f1b6fe2f7ced30368b305afbb,KP638541,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,1,matrix protein 1,Viet Nam,Viet Nam,,Homo sapiens,,3/27/2010,,,matrix protein 1 [Influenza A virus (A/Vietnam/UT36282/2010(H5N1))]
AJK00233,Influenza A virus (A/Vietnam/UT36282/2010(H5N1)),GenBank,set:8222cb8a1899819f1b6fe2f7ced30368b305afbb,KP638541,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,1,matrix protein 2,Viet Nam,Viet Nam,,Homo sapiens,,3/27/2010,,,matrix protein 2 [Influenza A virus (A/Vietnam/UT36282/2010(H5N1))]
AJK00234,Influenza A virus (A/Vietnam/UT36282/2010(H5N1)),GenBank,set:8222cb8a1899819f1b6fe2f7ced30368b305afbb,KP638549,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,1,nonstructural protein 1,China,China,,Homo sapiens,,3/27/2010,,,nonstructural protein 1 [Influenza A virus (A/Vietnam/UT36282/2010(H5N1))]
AJK00235,Influenza A virus (A/Vietnam/UT36282/2010(H5N1)),GenBank,set:8222cb8a1899819f1b6fe2f7ced30368b305afbb,KP638549,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,1,nuclear export protein,China,China,,Homo sapiens,,3/27/2010,,,nuclear export protein [Influenza A virus (A/Vietnam/UT36282/2010(H5N1))]
AJK00236,Influenza A virus (A/Vietnam/UT36282/2010(H5N1)),GenBank,set:8222cb8a1899819f1b6fe2f7ced30368b305afbb,KP638557,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),758,H5N1,2,1,polymerase PB1,Viet Nam,Viet Nam,,Homo sapiens,,3/27/2010,,,polymerase PB1 [Influenza A virus (A/Vietnam/UT36282/2010(H5N1))]
AJK00237,Influenza A virus (A/chicken/Vietnam/TY31/2005(H5N1)),GenBank,set:2278e84e77b8c4d359efb972bf933d754dc82320,KP638493,,"Yamaji,R., Yamada,S., Le,M.Q., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,1,polymerase PB2,Viet Nam,Viet Nam,,Gallus gallus,,2005,,,polymerase PB2 [Influenza A virus (A/chicken/Vietnam/TY31/2005(H5N1))]
AJK00238,Influenza A virus (A/Vietnam/36285/2010(H5N1)),GenBank,set:72c395092877c4eb067754cde8617c28f0a170c4,KP638492,,"Yamaji,R., Yamada,S., Le,M.Q., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,1,polymerase PB2,Viet Nam,Viet Nam,,Homo sapiens,,4/2/2010,,,polymerase PB2 [Influenza A virus (A/Vietnam/36285/2010(H5N1))]
AJK00239,Influenza A virus (A/Vietnam/36285/2010(H5N1)),GenBank,set:b9f6531e76f0f9fa705c1b1bb590911356a25ad7,KP638560,,"Yamaji,R., Yamada,S., Le,M.Q., Li,C., Chen,H., Qurnianingsih,E., Nidom,C.A., Ito,M., Sakai-Tagawa,Y., Kawaoka,Y.",2/14/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,1,hemagglutinin,Viet Nam,Viet Nam,,Homo sapiens,,4/2/2010,,,hemagglutinin [Influenza A virus (A/Vietnam/36285/2010(H5N1))]
AJM70550,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739418,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,1,polymerase PB2,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,polymerase PB2 [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70551,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739419,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,1,polymerase PB1,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,polymerase PB1 [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70552,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739419,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),90,H5N1,2,1,PB1-F2 protein,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,PB1-F2 protein [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70553,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739420,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,1,polymerase PA,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,polymerase PA [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70554,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739421,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,1,hemagglutinin,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,hemagglutinin [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70555,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739422,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,1,nucleocapsid protein,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,nucleocapsid protein [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70556,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739423,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),469,H5N1,6,1,neuraminidase,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,neuraminidase [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70557,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739424,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,1,matrix protein 2,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,matrix protein 2 [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70558,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739424,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,1,matrix protein 1,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,matrix protein 1 [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70559,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739425,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,1,nuclear export protein,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,nuclear export protein [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJM70560,Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1)),GenBank,GCA_038765435.1,KP739425,,"Torchetti,M.K., Killian,M.L., Dusek,R.J., Pedersen,J.C., Hines,N., Bodenstein,B., White,C.L., Ip,H.S., Dusek,R.",2/13/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),230,H5N1,8,1,nonstructural protein 1,"USA: Whatcom County, Washington",USA,WA,Anas carolinensis,"oronasopharynx, cloaca",12/29/2014,,,nonstructural protein 1 [Influenza A virus (A/American green-winged teal/Washington/195750/2014(H5N1))]
AJE62027,Influenza A virus (A/chicken/Egypt/Fadllah-7/2014(H5N1)),GenBank,set:f8d4cf72b43852e5410395fe749e913b84ca182e,KP326324,,"Rohaim,M.A., Sayed,E.I., Gamal,A.M., Zaki,M.M., Badawy,M.F., Metwally,A.M., EL-Agrab,H.M., Ali,M.M., Hamoud,M.M., Zahran,O.K.",1/25/2015,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),568,H5N1,4,,hemagglutinin,Egypt: El Menofia,Egypt,,Gallus gallus,,2014-11,,,hemagglutinin [Influenza A virus (A/chicken/Egypt/Fadllah-7/2014(H5N1))]
AHK10696,Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)),GenBank,set:9eb40450705906e080e4199f685ccde97f85e997,KJ397915,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P18,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,1,hemagglutinin,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,hemagglutinin [Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1))]
AHK10697,Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)),GenBank,set:9eb40450705906e080e4199f685ccde97f85e997,KJ397916,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P18,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),446,H5N1,6,1,neuraminidase,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,"neuraminidase, partial [Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1))]"
AHK10698,Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)),GenBank,set:9eb40450705906e080e4199f685ccde97f85e997,KJ397917,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P18,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,1,matrix protein 1,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,matrix protein 1 [Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1))]
AHK10699,Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)),GenBank,set:9eb40450705906e080e4199f685ccde97f85e997,KJ397917,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P18,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,1,matrix protein 2,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,matrix protein 2 [Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1))]
AHK10700,Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)),GenBank,set:9eb40450705906e080e4199f685ccde97f85e997,KJ397918,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P18,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,1,nonstructural protein 1,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,nonstructural protein 1 [Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1))]
AHK10701,Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)),GenBank,set:9eb40450705906e080e4199f685ccde97f85e997,KJ397918,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P18,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,1,nuclear export protein,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,nuclear export protein [Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1))]
AHK10702,Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1)),GenBank,set:9eb40450705906e080e4199f685ccde97f85e997,KJ397919,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P18,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),497,H5N1,5,1,nucleocapsid protein,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,"nucleocapsid protein, partial [Influenza A virus (A/migratory bird/Bangladesh/P18/2010(H5N1))]"
AHK10703,Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)),GenBank,set:1aedfae2ee8cb778e53ed9a13021c6c90f1f3511,KJ397920,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P29,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),567,H5N1,4,1,hemagglutinin,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,hemagglutinin [Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1))]
AHK10704,Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)),GenBank,set:1aedfae2ee8cb778e53ed9a13021c6c90f1f3511,KJ397921,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P29,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),446,H5N1,6,1,neuraminidase,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,"neuraminidase, partial [Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1))]"
AHK10705,Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)),GenBank,set:1aedfae2ee8cb778e53ed9a13021c6c90f1f3511,KJ397922,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P29,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,1,matrix protein 1,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,matrix protein 1 [Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1))]
AHK10706,Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)),GenBank,set:1aedfae2ee8cb778e53ed9a13021c6c90f1f3511,KJ397922,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P29,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,1,matrix protein 2,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,matrix protein 2 [Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1))]
AHK10707,Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)),GenBank,set:1aedfae2ee8cb778e53ed9a13021c6c90f1f3511,KJ397923,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P29,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),225,H5N1,8,1,nonstructural protein 1,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,nonstructural protein 1 [Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1))]
AHK10708,Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)),GenBank,set:1aedfae2ee8cb778e53ed9a13021c6c90f1f3511,KJ397923,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P29,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),121,H5N1,8,1,nuclear export protein,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,nuclear export protein [Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1))]
AHK10709,Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1)),GenBank,set:1aedfae2ee8cb778e53ed9a13021c6c90f1f3511,KJ397924,,"Parvin,R., Kamal,A.H., Haque,M.E., Chowdhury,E.H., Giasuddin,M., Islam,M.R., Vahlenkamp,T.W., Kamal,A.H.M.",9/22/2014,P29,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,1,nucleocapsid protein,Bangladesh,Bangladesh,,Aves,feces,2010-12,,,nucleocapsid protein [Influenza A virus (A/migratory bird/Bangladesh/P29/2010(H5N1))]
AIJ10949,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213385,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),759,H5N1,1,1,polymerase PB2,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,polymerase PB2 [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10950,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213386,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),757,H5N1,2,1,polymerase PB1,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,polymerase PB1 [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10951,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213386,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),90,H5N1,2,1,PB1-F2 protein,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,PB1-F2 protein [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10952,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213387,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),716,H5N1,3,1,polymerase PA,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,polymerase PA [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10953,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213387,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,3,1,PA-X protein,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,PA-X protein [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10954,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213388,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),498,H5N1,5,1,nucleocapsid protein,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,nucleocapsid protein [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10955,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213389,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),252,H5N1,7,1,matrix protein 1,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,matrix protein 1 [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10956,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213389,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),97,H5N1,7,1,matrix protein 2,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,matrix protein 2 [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
AIJ10957,Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1)),GenBank,GCA_038689135.1,KM213390,,"Hall,J.S., Hallgrimsson,G.T., Suwannanarn,K., Sreevatsen,S., Ip,H.S., Magnusdottir,E., TeSlaa,J.L., Nashold,S.W., Dusek,R.J.",8/17/2014,,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,ssRNA(-),230,H5N1,8,1,nonstructural protein 1,Iceland,Iceland,,Arenaria interpres,,5/23/2013,,,nonstructural protein 1 [Influenza A virus (A/ruddy turnstone/Iceland/2899/2013(H5N1))]
